title,release_year,genres,score,budget,revenue
The Battle of Algiers,1966,"['Drama', 'War', 'History']",78,800000,921548
"The Good, the Bad and the Ugly",1966,['Western'],81,1200000,6000000
The Sand Pebbles,1966,"['Action', 'Adventure', 'Drama', 'War', 'Romance']",72,12000000,20000000
Torn Curtain,1966,"['Mystery', 'Thriller']",64,3000000,13000000
Who's Afraid of Virginia Woolf?,1966,['Drama'],78,7500000,33736689
A Countess from Hong Kong,1967,"['Comedy', 'Romance']",59,3500000,2000000
Bonnie and Clyde,1967,"['Crime', 'Drama']",76,2500000,50700000
Casino Royale,1967,"['Adventure', 'Action', 'Comedy']",53,12000000,41744718
Cool Hand Luke,1967,"['Crime', 'Drama']",77,3000000,16217773
Doctor Dolittle,1967,"['Adventure', 'Fantasy', 'Comedy', 'Family', 'Music', 'Romance']",60,18000000,9000000
Guess Who's Coming to Dinner,1967,"['Comedy', 'Drama', 'Romance']",76,4000000,56666667
Hombre,1967,"['Action', 'Drama', 'Western']",72,5860000,12000000
In Cold Blood,1967,"['Crime', 'Drama']",74,3500000,13007551
In the Heat of the Night,1967,"['Crime', 'Drama', 'Mystery', 'Thriller']",75,2000000,27379978
Point Blank,1967,"['Action', 'Crime', 'Drama', 'Thriller']",71,2500000,3200000
The Born Losers,1967,"['Action', 'Drama']",53,360000,36000000
The Dirty Dozen,1967,"['Action', 'Adventure', 'War']",75,5400000,45300000
The Graduate,1967,['Drama'],76,3000000,104945305
The Jungle Book,1967,"['Family', 'Animation', 'Adventure']",71,4000000,205843612
Valley of the Dolls,1967,"['Music', 'Drama', 'Romance']",67,5000000,50000000
Wait Until Dark,1967,"['Horror', 'Crime', 'Thriller']",75,4000000,11000000
You Only Live Twice,1967,"['Action', 'Thriller', 'Adventure']",65,9500000,111584787
2001: A Space Odyssey,1968,"['Science Fiction', 'Mystery', 'Adventure']",79,10500000,68700000
Barbarella,1968,['Science Fiction'],57,9000000,2500000
Bullitt,1968,"['Action', 'Crime', 'Drama', 'Thriller']",70,5500000,42300873
Charly,1968,"['Drama', 'Romance', 'Science Fiction']",66,950000,814666
Funny Girl,1968,"['Drama', 'Comedy', 'Music', 'Romance']",69,14000000,52223306
Hang 'em High,1968,['Western'],67,1800000,6800000
Night of the Living Dead,1968,['Horror'],75,114000,30000000
Oliver!,1968,"['Drama', 'Family', 'Music']",70,10000000,37402877
Once Upon a Time in the West,1968,['Western'],81,5000000,5321508
Planet of the Apes,1968,"['Science Fiction', 'Adventure', 'Drama', 'Action']",75,5800000,33395426
Rosemary's Baby,1968,"['Horror', 'Drama', 'Mystery']",75,3200000,33395426
Shalako,1968,['Western'],54,1455000,2620000
The Bride Wore Black,1968,"['Mystery', 'Drama', 'Romance', 'Thriller', 'Crime']",73,747000,44566
The Green Berets,1968,"['War', 'Drama']",58,7000000,11000000
Vixen!,1968,"['Comedy', 'Drama', 'Romance']",55,76000,6000000
Where Eagles Dare,1968,"['Adventure', 'Drama', 'Action', 'History', 'War']",74,7700000,21000000
Bob & Carol & Ted & Alice,1969,"['Comedy', 'Drama']",62,2000000,30000000
Butch Cassidy and the Sundance Kid,1969,"['History', 'Drama', 'Western', 'Crime']",74,6000000,102308889
"Hello, Dolly!",1969,"['Comedy', 'Family', 'Music', 'Romance']",66,24000000,33208099
Midnight Cowboy,1969,['Drama'],74,3600000,44785053
On Her Majesty's Secret Service,1969,"['Adventure', 'Action', 'Thriller']",65,6500000,81974493
Paint Your Wagon,1969,"['Drama', 'Action', 'Comedy', 'Western', 'Music']",63,20000000,31678778
Sweet Charity,1969,"['Comedy', 'Drama', 'Music', 'Romance']",65,8000000,20000000
The Wild Bunch,1969,"['Adventure', 'Western']",77,6244087,638641
Topaz,1969,"['Action', 'Drama', 'Mystery', 'Thriller']",61,4000000,6000000
Airport,1970,"['Action', 'Drama', 'Thriller']",62,10000000,100489151
Beneath the Planet of the Apes,1970,"['Adventure', 'Science Fiction', 'Mystery']",62,3000000,18999718
Beyond the Valley of the Dolls,1970,"['Comedy', 'Drama', 'Thriller']",66,2090000,40000000
Catch-22,1970,"['War', 'Comedy', 'Drama']",67,18000000,24911670
Kelly's Heroes,1970,"['Adventure', 'Comedy', 'War']",72,4000000,5200000
Little Big Man,1970,"['Adventure', 'Western', 'History']",75,15000000,31559552
Love Story,1970,"['Drama', 'Romance']",66,2200000,136400000
M*A*S*H,1970,"['Comedy', 'Drama', 'War']",69,3500000,81600000
Patton,1970,"['Drama', 'History', 'War']",73,12000000,89800000
The Aristocats,1970,"['Animation', 'Comedy', 'Family', 'Adventure']",71,4000000,55675257
The Ballad of Cable Hogue,1970,"['Action', 'Comedy', 'Western']",69,3716946,5000000
The Molly Maguires,1970,"['Drama', 'History']",59,11000000,2200000
The Private Life of Sherlock Holmes,1970,"['Adventure', 'Comedy', 'Crime', 'Mystery', 'Romance', 'Thriller']",69,10000000,1500000
Tora! Tora! Tora!,1970,"['History', 'Action', 'Drama', 'Adventure', 'War']",69,25485000,29548291
Waterloo,1970,"['History', 'Action', 'Drama']",71,25000000,3052000
Woodstock,1970,"['History', 'Documentary', 'Music']",71,600000,34505110
Zabriskie Point,1970,"['Drama', 'Romance']",71,7000000,1000000
A Clockwork Orange,1971,"['Science Fiction', 'Drama']",80,2200000,26589000
Bananas,1971,['Comedy'],67,2000000,11833696
