item,title,genreLabel,boxofficeww,boxofficeusa,publicationdate,reviewscore,budget
http://www.wikidata.org/entity/Q59566,The Upside of Anger,drama film,,,,6.8/10,12000000 USD
http://www.wikidata.org/entity/Q221104,The Cell,thriller film,,,,5.6/10,
http://www.wikidata.org/entity/Q502908,Lost in Space,thriller film,,,1998-04-03T00:00:00Z,28%,80000000 USD
http://www.wikidata.org/entity/Q245271,Evita,drama film,,,1996-12-25T00:00:00Z,6.7/10,55000000 USD
http://www.wikidata.org/entity/Q108946,A Few Good Men,thriller film,243200000,,,7.1/10,
http://www.wikidata.org/entity/Q108946,A Few Good Men,thriller film,243200000,,,83%,
http://www.wikidata.org/entity/Q1212650,Incendies,mystery film,16025025,6857096,2011-04-22T00:00:00Z,92%,6800000 USD
http://www.wikidata.org/entity/Q229599,Charlie's Angels,female buddy film,264100000,,,69%,
http://www.wikidata.org/entity/Q679373,The Verdict,drama film,53993738,53977250,1982-12-17T00:00:00Z,88%,16000000 USD
http://www.wikidata.org/entity/Q1070275,Fear,erotic thriller,,20831000,1996-04-12T00:00:00Z,46%,6500000 USD
http://www.wikidata.org/entity/Q1070275,Fear,erotic thriller,,20831000,1996-04-12T00:00:00Z,5.2/10,6500000 USD
http://www.wikidata.org/entity/Q570481,What Lies Beneath,ghost film,291400000,,,47%,
http://www.wikidata.org/entity/Q222867,2 Fast 2 Furious,action film,236350661,127154901,2003-06-06T00:00:00Z,36%,76000000 USD
http://www.wikidata.org/entity/Q645263,Another 48 Hrs.,action film,,,1990-06-08T00:00:00Z,21%,38000000 USD
http://www.wikidata.org/entity/Q332515,The Others,mystery film,,,,7.2/10,17000000 USD
http://www.wikidata.org/entity/Q1587353,The Naked City,crime film,,2400000,1948-03-04T00:00:00Z,7.6/10,
http://www.wikidata.org/entity/Q1587353,The Naked City,crime film,,2400000,1948-03-04T00:00:00Z,85%,
http://www.wikidata.org/entity/Q85790963,Operation Mincemeat,drama film,15710164,,2022-05-06T00:00:00Z,84%,6300000 USD
http://www.wikidata.org/entity/Q380667,Predators,action film,,,2010-07-09T00:00:00Z,5.8/10,40000000 USD
http://www.wikidata.org/entity/Q48674494,Adrift,biographical film,,,,6.1/10,
http://www.wikidata.org/entity/Q161087,Pirates of the Caribbean: Dead Man's Chest,comedy film,1066179725,423315812,2006-07-07T00:00:00Z,53%,225000000 USD
http://www.wikidata.org/entity/Q65768604,Thor: Love and Thunder,superhero film,760928081,343256830,2022-02-11T00:00:00Z,6.4/10,250000000 USD
http://www.wikidata.org/entity/Q16637004,Victor Frankenstein,film based on a novel,,,,27%,
