title,release_year,genres,score,budget,revenue
Hedwig and the Angry Inch,2001.0,"drama film, romantic comedy, musical film, LGBT-related film",92.0,6000000.0,3660081.0
Hell in the Pacific,1968.0,"war film, drama film",65.0,4150000.0,3230000.0
High Fidelity,2000.0,"musical film, melodrama, comedy drama, film based on a novel, comedy film, drama film, romantic comedy",91.0,30000000.0,47126295.0
High Sierra,1941.0,"film noir, crime film, heist film, drama film",90.0,491000.0,1489000.0
Holmes & Watson,2018.0,"mystery film, action film, comedy film",32.0,42000000.0,40466970.0
Home Alone,1990.0,"comedy film, adventure film, Christmas film, children's film",67.0,18000000.0,476684675.0
Hot Fuzz,2007.0,"buddy film, parody film, comedy film, crime film, action film",91.0,16000000.0,80743363.0
Hot Rod,2007.0,"comedy film, action film",51.0,25000000.0,14353654.0
Hotel Transylvania 3,2018.0,"fantasy film, vampire film, comedy film, computer-animated film, family film, monster film, comedy horror, werewolf film",55.0,65000000.0,528583774.0
House,1986.0,"ghost film, horror film, comedy horror, zombie comedy, comedy film",51.0,3000000.0,22144631.0
How Green Was My Valley,1941.0,"drama film, film based on literature",79.0,800000.0,2400000.0
Idiocracy,2006.0,"science fiction film, science fiction comedy, comedy film, dystopian film",74.0,2400000.0,495303.0
"Il buono, il brutto, il cattivo",1967.0,"war film, treasure hunt film, Spaghetti Western",88.0,1200000.0,38900000.0
In Bruges,2008.0,"comedy film, drama film, crime film, action film, Christmas film, buddy film",73.0,15000000.0,39628029.0
Incendies,2011.0,"mystery film, drama film",92.0,6800000.0,16025025.0
Inception,2010.0,"heist film, adventure film, mystery film, drama film, science fiction film, thriller film, science fiction action film",87.0,160000000.0,836848102.0
Independence Day,1996.0,"science fiction film, disaster film, thriller film, action thriller, alien invasion, action film",66.0,75000000.0,817400891.0
Independence day – Maailmojen sota,1996.0,"thriller film, action thriller, alien invasion, action film, science fiction film, disaster film",66.0,75000000.0,817400891.0
Indiana Jones and the Kingdom of the Crystal Skull,2008.0,"adventure film, action film, treasure hunt film",69.0,185000000.0,790653942.0
Indiana Jones and the Last Crusade,1989.0,"treasure hunt film, action comedy film, adventure film",84.0,48000000.0,474200000.0
