title,release_year,genres,score,budget,revenue
Wild,2014.0,Drama,70.0,15000000.0,52501541.0
Wifelike,2022.0,"Science Fiction, Mystery, Thriller",72.0,113400000.0,652368753.6
Widows,2019.0,"Crime, Thriller",65.0,40000000.0,75984700.0
Wicker Park,2004.0,"Drama, Mystery, Romance, Thriller",67.0,30000000.0,13001257.0
Wicked Minds,2003.0,"Mystery, Drama, Romance, Thriller",63.0,174000000.0,333960611.0
Wicked Little Things,2006.0,"Fantasy, Horror",58.0,71600000.0,657398006.0
Why Women Cheat,2021.0,Romance,28.0,15541000.0,38139010.0
Why Him?,2016.0,Comedy,63.0,38000000.0,118034273.0
Why Did I Get Married?,2007.0,"Comedy, Drama",61.0,15000000.0,55184721.0
Why Did I Get Married Too?,2010.0,"Comedy, Romance",61.0,20000000.0,60072596.0
Wholly Moses,1980.0,Comedy,50.0,7301100.0,14155617.0
Who's Afraid of Virginia Woolf?,1966.0,Drama,78.0,7500000.0,33736689.0
Who Killed the Electric Car?,2006.0,Documentary,72.0,1000000.0,1678874.0
Who Framed Roger Rabbit,1988.0,"Fantasy, Animation, Comedy, Crime, Family",72.0,70000000.0,329803958.0
Whitney Houston: I Wanna Dance with Somebody,2022.0,"Music, History, Drama",70.0,50000000.0,41000000.0
Whiteout,2009.0,"Action, Crime, Mystery, Thriller",53.0,40000000.0,12206028.0
White Tiger,2012.0,"Action, Adventure, Fantasy, War",59.0,11000000.0,7200000.0
White Squall,1996.0,"Action, Drama",63.0,38000000.0,10300000.0
White Palace,1990.0,"Drama, Romance",62.0,14586840.6,17487531.0
White Noise,2005.0,"Drama, Horror, Thriller",56.0,10000000.0,91196419.0
White House Down,2013.0,"Action, Drama, Thriller",63.0,150000000.0,205366737.0
White Heat,1949.0,"prison film, crime film, film noir",84.0,1300000.0,3483000.0
White God,2014.0,Drama,66.0,2200000.0,282358.0
White Girl,2016.0,Drama,57.0,700000.0,1000000.0
White Fang,1991.0,"Action, Adventure, Drama, Family",65.0,14000000.0,34793160.0
White Elephant,2022.0,"Action, Crime, Thriller",64.0,98600000.0,688313467.6
White Chicks,2004.0,Comedy,63.0,37000000.0,113086475.0
White Boy Rick,2018.0,"Crime, Drama",63.0,30000000.0,25947983.0
Whisper,2022.0,"Horror, Thriller",64.0,20000.0,211802400.4
Whisper,2007.0,"Crime, Drama, Horror, Thriller",62.0,12000000.0,5285197.0
Whiskey Tango Foxtrot,2016.0,"War, Comedy",60.0,35000000.0,23083334.0
Whiplash,2014.0,Drama,83.0,3300000.0,13092000.0
Whip It,2009.0,Drama,67.0,15000000.0,16633035.0
While You Were Sleeping,1995.0,"Comedy, Drama, Romance",65.0,17000000.0,182057016.0
While We're Young,2015.0,"Comedy, Drama, Mystery",58.0,10000000.0,7587485.0
While She Was Out,2008.0,"Action, Adventure, Drama, Horror, Thriller",48.0,6000000.0,1000000.0
"Where'd You Go, Bernadette",2019.0,"Comedy, Drama",67.0,20000000.0,296432421.6
Where the Wild Things Are,2009.0,"Family, Fantasy",64.0,100000000.0,100086793.0
